path,source_ref,role,key_functions_classes,input_output_files,likely_experiment_group,thesis_relevance,confidence,evidence_note
origin/percentage_label+FFT:src/modeling/train.py,git show origin/percentage_label+FFT:src/modeling/train.py,TFRecord/HDF5 generation; label construction; FFT label/script; training logic; analysis/evaluation/metric computation; result saving logic; artifact masking / binary mask; train/test split logic,augment_cwt; _parse_regression_tfrecord_fn; train_regressor_model,fft_regression_data.tfrecord; best_fft_regressor_model.h5; training_history_fft.pkl; profile_regression_data.tfrecord; best_advanced_regressor_model.h5; training_history_advanced.pkl,1D percentage label / EfficientNet,label construction and method rationale; model/training method; evaluation and interpretability; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
origin/percentage_label+FFT:src/visualization/visualize_data_pipeline.py,git show origin/percentage_label+FFT:src/visualization/visualize_data_pipeline.py,TFRecord/HDF5 generation; label construction; FFT label/script; result saving logic,visualize_label_generation,processed_waveforms.pkl; ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5; 06_label_generation_{TASK_TYPE}.png,1D percentage label / EfficientNet,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/percentage_label+FFT:src/visualization/visualize_training_history.py,git show origin/percentage_label+FFT:src/visualization/visualize_training_history.py,label construction; FFT label/script; result saving logic,plot_training_history,training_history_fft.pkl; training_history_advanced.pkl; training_history.pkl; 05_training_history_{TASK_TYPE}.png,1D percentage label / EfficientNet,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/test_relativity:config.py,git show origin/test_relativity:config.py,CWT transformation; TFRecord/HDF5 generation; FFT label/script; train/test split logic,,ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5,CWT-label binary classification,label construction and method rationale; data leakage risk review; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/test_relativity:main.py,git show origin/test_relativity:main.py,preprocessing script; TFRecord/HDF5 generation,check_output_exists; run_step; main,cwt_images.h5; translation_data.tfrecord; processed_waveforms.pkl,CWT-label binary classification,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/test_relativity:src/cwt_transformation/main_transform_translation.py,git show origin/test_relativity:src/cwt_transformation/main_transform_translation.py,CWT transformation; TFRecord/HDF5 generation,batch_cwt_transformer; transform_waveforms_to_cwt_images,processed_waveforms.pkl; cwt_images.h5,CWT-label binary classification,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/test_relativity:src/data_processing/create_tfrecords.py,git show origin/test_relativity:src/data_processing/create_tfrecords.py,TFRecord/HDF5 generation; label construction; artifact masking / binary mask,_bytes_feature; _float_feature; process_zc_slice_to_label; create_tfrecord_example; create_tfrecords_for_classification,cwt_images.h5; processed_waveforms.pkl; classification_data.tfrecord,CWT-label binary classification,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
origin/test_relativity:src/data_processing/main_preprocess.py,git show origin/test_relativity:src/data_processing/main_preprocess.py,preprocessing script; TFRecord/HDF5 generation; result saving logic,apply_high_pass_filter; load_and_prepare_data; create_unified_depth_grid; interpolate_to_grid; build_and_save_outputs; main,CAST.mat; XSILMR{str(array_id).zfill(2)}.mat; ground_truth_db_array_{str(array_id).zfill(2)}.h5; processed_waveforms.pkl,CWT-label binary classification,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/test_relativity:src/interpretation/run_analysis_classification.py,git show origin/test_relativity:src/interpretation/run_analysis_classification.py,TFRecord/HDF5 generation; label construction; Grad-CAM analysis; result saving logic,make_gradcam_heatmap; run_classification_analysis,best_classifier_model.h5; cwt_images.h5; classification_data.tfrecord; gradcam_sample_{i}.png,CWT-label binary classification,label construction and method rationale; evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
origin/test_relativity:src/modeling/dataset.py,git show origin/test_relativity:src/modeling/dataset.py,TFRecord/HDF5 generation,create_dataset,unknown,CWT-label binary classification,background,strong,Repository code or tracked branch snapshot; no training executed.
origin/test_relativity:src/modeling/model.py,git show origin/test_relativity:src/modeling/model.py,unknown,build_classifier,unknown,CWT-label binary classification,unknown,weak,Repository code or tracked branch snapshot; no training executed.
origin/test_relativity:src/modeling/train.py,git show origin/test_relativity:src/modeling/train.py,TFRecord/HDF5 generation; label construction; training logic; analysis/evaluation/metric computation; result saving logic; train/test split logic,_parse_classification_tfrecord_fn; train_classifier_model,classification_data.tfrecord; best_classifier_model.h5; training_history.pkl,CWT-label binary classification,label construction and method rationale; model/training method; evaluation and interpretability; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
origin/test_relativity:src/visualization/visualize_data_pipeline.py,git show origin/test_relativity:src/visualization/visualize_data_pipeline.py,preprocessing script; CWT transformation; TFRecord/HDF5 generation; label construction; FFT label/script; result saving logic; artifact masking / binary mask,visualize_single_sample,XSILMR{str(ARRAY_ID).zfill(2)}.mat; processed_waveforms.pkl; cwt_images.h5; ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5; {sample_index}_01_raw_waveform.png; {sample_index}_02_cwt_result.png; {sample_index}_03_label_generation.png; {sample_index}_04_final_label_image.png,CWT-label binary classification,label construction and method rationale; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
origin/test_relativity:src/visualization/visualize_training_history.py,git show origin/test_relativity:src/visualization/visualize_training_history.py,label construction; training logic; result saving logic,plot_training_history,training_history.pkl; 04_training_history.png,CWT-label binary classification,label construction and method rationale; model/training method,strong,Repository code or tracked branch snapshot; no training executed.
src/cwt_transformation/main_transform_translation.py,working tree:src/cwt_transformation/main_transform_translation.py; read_status=utf-8-sig,CWT transformation; TFRecord/HDF5 generation,batch_cwt_transformer; transform_waveforms_to_cwt_images,processed_waveforms.pkl; cwt_images.h5,CWT preprocessing,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
src/data_processing/create_tfrecords.py,working tree:src/data_processing/create_tfrecords.py; read_status=utf-8-sig,TFRecord/HDF5 generation; label construction; FFT label/script,_bytes_feature; process_zc_slice_to_label; create_tfrecord_example; create_tfrecords_for_translation,cwt_images.h5; processed_waveforms.pkl; translation_data.tfrecord,FFT log label,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
src/data_processing/main_preprocess.py,working tree:src/data_processing/main_preprocess.py; read_status=utf-8-sig,preprocessing script; TFRecord/HDF5 generation; result saving logic,apply_high_pass_filter; load_and_prepare_data; create_unified_depth_grid; interpolate_to_grid; build_and_save_outputs; main,CAST.mat; XSILMR{str(array_id).zfill(2)}.mat; ground_truth_db_array_{str(array_id).zfill(2)}.h5; processed_waveforms.pkl,unknown,data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
src/interpretation/debug_data_visualization.py,working tree:src/interpretation/debug_data_visualization.py; read_status=utf-8-sig,TFRecord/HDF5 generation; FFT label/script; Grad-CAM analysis,debug_arrays,best_a2inet_model.h5; cwt_images.h5; debug_cwt_array.png; debug_heatmap_array.png,Grad-CAM interpretability,label construction and method rationale; evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
src/interpretation/generate_analysis_candidates.py,working tree:src/interpretation/generate_analysis_candidates.py; read_status=utf-8-sig,TFRecord/HDF5 generation; label construction; Grad-CAM analysis; result saving logic; train/test split logic,generate_candidates,candidate_{quality_level}_index_{idx}_comparison.png,Grad-CAM interpretability,label construction and method rationale; evaluation and interpretability; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
src/interpretation/grad_cam.py,working tree:src/interpretation/grad_cam.py; read_status=utf-8-sig,Grad-CAM analysis,make_gradcam_heatmap; superimpose_gradcam,unknown,Grad-CAM interpretability,evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
src/interpretation/plot_manual_analysis.py,working tree:src/interpretation/plot_manual_analysis.py; read_status=utf-8-sig,TFRecord/HDF5 generation; label construction; result saving logic; train/test split logic,plot_manual_targets,{name}.png,unknown,label construction and method rationale; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
src/interpretation/run_analysis.py,working tree:src/interpretation/run_analysis.py; read_status=utf-8-sig,TFRecord/HDF5 generation; label construction; FFT label/script; Grad-CAM analysis; result saving logic; train/test split logic,get_grad_cam_heatmap; reconstruct_zc_from_fft_magnitude; run_model_analysis,best_a2inet_model.h5; translation_data.tfrecord; sample_{i}_input_and_gradcam.png; sample_{i}_truth_vs_prediction.png,Grad-CAM interpretability,label construction and method rationale; evaluation and interpretability; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
src/interpretation/s.py,working tree:src/interpretation/s.py; read_status=utf-8-sig,unknown,,unknown,unknown,unknown,weak,Repository code or tracked branch snapshot; no training executed.
src/interpretation/visualize_model.py,working tree:src/interpretation/visualize_model.py; read_status=utf-8-sig,SE-ResNet model,visualize_model_architecture,model_architecture_array_{array_id}.png,unknown,model/training method,strong,Repository code or tracked branch snapshot; no training executed.
src/modeling/dataset.py,working tree:src/modeling/dataset.py; read_status=utf-8-sig,TFRecord/HDF5 generation; label construction; FFT label/script; train/test split logic,_parse_translation_tfrecord_fn; create_dataset,translation_data.tfrecord,unknown,label construction and method rationale; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
src/modeling/model.py,working tree:src/modeling/model.py; read_status=utf-8-sig,FFT label/script; Grad-CAM analysis,attention_gate; build_attention_unet,unknown,Grad-CAM interpretability,label construction and method rationale; evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
src/modeling/train.py,working tree:src/modeling/train.py; read_status=utf-8-sig,TFRecord/HDF5 generation; FFT label/script; training logic; analysis/evaluation/metric computation; result saving logic; train/test split logic,gradient_difference_loss; hybrid_loss; train_translation_model,translation_data.tfrecord; best_a2inet_model.h5; training_history.pkl,unknown,label construction and method rationale; model/training method; evaluation and interpretability; data leakage risk review,strong,Repository code or tracked branch snapshot; no training executed.
src/utils/file_io.py,working tree:src/utils/file_io.py; read_status=utf-8-sig,result saving logic,load_pickle; save_pickle; create_dir,unknown,unknown,background,strong,Repository code or tracked branch snapshot; no training executed.
src/utils/plotting.py,working tree:src/utils/plotting.py; read_status=utf-8-sig,label construction; severity transform; Grad-CAM analysis; result saving logic,plot_csi_distribution; plot_grad_cam,unknown,Grad-CAM interpretability,label construction and method rationale; evaluation and interpretability,strong,Repository code or tracked branch snapshot; no training executed.
src/visualization/visualize_data_pipeline.py,working tree:src/visualization/visualize_data_pipeline.py; read_status=utf-8-sig,preprocessing script; CWT transformation; TFRecord/HDF5 generation; label construction; FFT label/script; result saving logic,visualize_data_processing_steps,XSILMR{str(ARRAY_ID).zfill(2)}.mat; processed_waveforms.pkl; cwt_images.h5; ground_truth_db_array_{str(ARRAY_ID).zfill(2)}.h5; 01_filtering_effect.png; Saved plot: 01_filtering_effect.png; 02_cwt_result.png; Saved plot: 02_cwt_result.png; 03_label_generation.png; Saved plot: 03_label_generation.png,FFT log label,label construction and method rationale; data pipeline,strong,Repository code or tracked branch snapshot; no training executed.
src/visualization/visualize_training_history.py,working tree:src/visualization/visualize_training_history.py; read_status=utf-8-sig,label construction; result saving logic,plot_training_history,training_history.pkl; 04_training_history.png; Saved plot: 04_training_history.png,unknown,label construction and method rationale,strong,Repository code or tracked branch snapshot; no training executed.
