figure_id,category,source_path,caption_draft_cn,thesis_chapter,why_useful,quality,needs_redraw,notes
FIG-072,failed attempt,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/visualization_plots/04_training_history.png,失败路线的实验结果或诊断图（来源：temp_result/GaN+2Dlabel/output/visualization_plots/04_training_history.png）,附录或讨论章,展示失败路线证据,medium,yes,"Artifact type: image; size=109.0KB; evidence path only, image not modified."
FIG-073,failed attempt,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/visualization_plots/150_03_label_generation.png,失败路线的实验结果或诊断图（来源：temp_result/GaN+2Dlabel/output/visualization_plots/150_03_label_generation.png）,附录或讨论章,展示失败路线证据,medium,yes,"Artifact type: image; size=102.5KB; evidence path only, image not modified."
FIG-074,limitation evidence,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+CNN/alignment_results.png,方法局限性或补充诊断图（来源：CSI+CNN/alignment_results.png）,第7章 讨论,展示限制或补充证据,high,maybe,"Artifact type: image; size=1.2MB; evidence path only, image not modified."
FIG-075,limitation evidence,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+CNN/depth_range_csi_analysis.png,方法局限性或补充诊断图（来源：CSI+CNN/depth_range_csi_analysis.png）,第7章 讨论,展示限制或补充证据,high,maybe,"Artifact type: image; size=874.5KB; evidence path only, image not modified."
FIG-076,limitation evidence,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+CNN/filtering_effect_comparison.png,方法局限性或补充诊断图（来源：CSI+CNN/filtering_effect_comparison.png）,第7章 讨论,展示限制或补充证据,high,maybe,"Artifact type: image; size=532.5KB; evidence path only, image not modified."
FIG-077,limitation evidence,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_03/plots/analysis_candidates/candidate_Excellent_index_11346_comparison.png,方法局限性或补充诊断图（来源：CSI+SE-ResNet/outputs/array_03/plots/analysis_candidates/candidate_Excellent_index_11346_comparison.png）,第7章 讨论,展示限制或补充证据,high,maybe,"Artifact type: image; size=255.1KB; evidence path only, image not modified."
FIG-078,limitation evidence,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_03/plots/analysis_candidates/candidate_Excellent_index_11656_comparison.png,方法局限性或补充诊断图（来源：CSI+SE-ResNet/outputs/array_03/plots/analysis_candidates/candidate_Excellent_index_11656_comparison.png）,第7章 讨论,展示限制或补充证据,high,maybe,"Artifact type: image; size=274.9KB; evidence path only, image not modified."
FIG-079,limitation evidence,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_03/plots/analysis_candidates/candidate_Excellent_index_1398_comparison.png,方法局限性或补充诊断图（来源：CSI+SE-ResNet/outputs/array_03/plots/analysis_candidates/candidate_Excellent_index_1398_comparison.png）,第7章 讨论,展示限制或补充证据,high,maybe,"Artifact type: image; size=242.2KB; evidence path only, image not modified."
FIG-080,limitation evidence,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_03/plots/analysis_candidates/candidate_Excellent_index_14648_comparison.png,方法局限性或补充诊断图（来源：CSI+SE-ResNet/outputs/array_03/plots/analysis_candidates/candidate_Excellent_index_14648_comparison.png）,第7章 讨论,展示限制或补充证据,high,maybe,"Artifact type: image; size=257.8KB; evidence path only, image not modified."
FIG-081,limitation evidence,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_03/plots/analysis_candidates/candidate_Excellent_index_15183_comparison.png,方法局限性或补充诊断图（来源：CSI+SE-ResNet/outputs/array_03/plots/analysis_candidates/candidate_Excellent_index_15183_comparison.png）,第7章 讨论,展示限制或补充证据,high,maybe,"Artifact type: image; size=250.8KB; evidence path only, image not modified."
FIG-082,limitation evidence,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_03/plots/analysis_candidates/candidate_Excellent_index_3199_comparison.png,方法局限性或补充诊断图（来源：CSI+SE-ResNet/outputs/array_03/plots/analysis_candidates/candidate_Excellent_index_3199_comparison.png）,第7章 讨论,展示限制或补充证据,high,maybe,"Artifact type: image; size=264.7KB; evidence path only, image not modified."
FIG-083,limitation evidence,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_03/plots/analysis_candidates/candidate_Excellent_index_3258_comparison.png,方法局限性或补充诊断图（来源：CSI+SE-ResNet/outputs/array_03/plots/analysis_candidates/candidate_Excellent_index_3258_comparison.png）,第7章 讨论,展示限制或补充证据,high,maybe,"Artifact type: image; size=259.2KB; evidence path only, image not modified."
FIG-084,model architecture,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+SE-ResNet/outputs/array_03/plots/model_architecture_array_03.png,模型结构示意图（来源：CSI+SE-ResNet/outputs/array_03/plots/model_architecture_array_03.png）,第4章 模型结构,展示模型结构图,high,maybe,"Artifact type: image; size=790.3KB; evidence path only, image not modified."
FIG-085,scatter plot,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/_overall_performance_scatter.png,预测值与真值散点对比图（来源：FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/_overall_performance_scatter.png）,第5章 实验结果,展示预测与真值散点关系,high,no,"Artifact type: image; size=245.2KB; evidence path only, image not modified."
FIG-086,scatter plot,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/image_translation/array_03/results/final_analysis_plots/_overall_performance_scatter.png,预测值与真值散点对比图（来源：FFT_EfficientNet/output/image_translation/array_03/results/final_analysis_plots/_overall_performance_scatter.png）,第5章 实验结果,展示预测与真值散点关系,high,no,"Artifact type: image; size=415.6KB; evidence path only, image not modified."
FIG-087,scatter plot,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet_1/output/fft_regression/array_03/results/fft_model_analysis_plots/_overall_performance_scatter.png,预测值与真值散点对比图（来源：FFT_EfficientNet_1/output/fft_regression/array_03/results/fft_model_analysis_plots/_overall_performance_scatter.png）,第5章 实验结果,展示预测与真值散点关系,high,no,"Artifact type: image; size=251.6KB; evidence path only, image not modified."
FIG-088,scatter plot,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet_1/output/image_translation/array_03/results/final_analysis_plots/_overall_performance_scatter.png,预测值与真值散点对比图（来源：FFT_EfficientNet_1/output/image_translation/array_03/results/final_analysis_plots/_overall_performance_scatter.png）,第5章 实验结果,展示预测与真值散点关系,high,no,"Artifact type: image; size=415.6KB; evidence path only, image not modified."
FIG-089,scatter plot,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/1D+percentage_Label/output/image_translation/array_03/results/final_analysis_plots/_overall_performance_scatter.png,预测值与真值散点对比图（来源：temp_result/1D+percentage_Label/output/image_translation/array_03/results/final_analysis_plots/_overall_performance_scatter.png）,第5章 实验结果,展示预测与真值散点关系,high,no,"Artifact type: image; size=415.6KB; evidence path only, image not modified."
FIG-090,scatter plot,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/results/final_analysis_plots/_overall_performance_scatter.png,预测值与真值散点对比图（来源：temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/results/final_analysis_plots/_overall_performance_scatter.png）,第5章 实验结果,展示预测与真值散点关系,high,no,"Artifact type: image; size=415.6KB; evidence path only, image not modified."
FIG-091,scatter plot,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/results/weighted_model_analysis_plots/_overall_performance_scatter_weighted.png,预测值与真值散点对比图（来源：temp_result/1D+percentage_Label/样本权重+非对称损失/output/image_translation/array_03/results/weighted_model_analysis_plots/_overall_performance_scatter_weighted.png）,第5章 实验结果,展示预测与真值散点关系,high,no,"Artifact type: image; size=843.0KB; evidence path only, image not modified."
FIG-092,severity map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_1717.png,基于 Zc 阈值构建的窜槽严重性标签示例（来源：FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_1717.png）,第3章 标签构造,展示严重性标签或最终标签形态,high,maybe,"Artifact type: image; size=312.0KB; evidence path only, image not modified."
FIG-093,severity map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_312.png,基于 Zc 阈值构建的窜槽严重性标签示例（来源：FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_312.png）,第3章 标签构造,展示严重性标签或最终标签形态,high,maybe,"Artifact type: image; size=315.4KB; evidence path only, image not modified."
FIG-094,severity map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_314.png,基于 Zc 阈值构建的窜槽严重性标签示例（来源：FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_314.png）,第3章 标签构造,展示严重性标签或最终标签形态,high,maybe,"Artifact type: image; size=313.4KB; evidence path only, image not modified."
FIG-095,severity map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_650.png,基于 Zc 阈值构建的窜槽严重性标签示例（来源：FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_650.png）,第3章 标签构造,展示严重性标签或最终标签形态,high,maybe,"Artifact type: image; size=324.7KB; evidence path only, image not modified."
FIG-096,severity map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_655.png,基于 Zc 阈值构建的窜槽严重性标签示例（来源：FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_655.png）,第3章 标签构造,展示严重性标签或最终标签形态,high,maybe,"Artifact type: image; size=316.1KB; evidence path only, image not modified."
FIG-097,severity map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_658.png,基于 Zc 阈值构建的窜槽严重性标签示例（来源：FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_658.png）,第3章 标签构造,展示严重性标签或最终标签形态,high,maybe,"Artifact type: image; size=311.0KB; evidence path only, image not modified."
FIG-098,severity map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_768.png,基于 Zc 阈值构建的窜槽严重性标签示例（来源：FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_768.png）,第3章 标签构造,展示严重性标签或最终标签形态,high,maybe,"Artifact type: image; size=323.4KB; evidence path only, image not modified."
FIG-099,severity map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_769.png,基于 Zc 阈值构建的窜槽严重性标签示例（来源：FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_769.png）,第3章 标签构造,展示严重性标签或最终标签形态,high,maybe,"Artifact type: image; size=297.0KB; evidence path only, image not modified."
FIG-100,severity map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_836.png,基于 Zc 阈值构建的窜槽严重性标签示例（来源：FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_836.png）,第3章 标签构造,展示严重性标签或最终标签形态,high,maybe,"Artifact type: image; size=317.1KB; evidence path only, image not modified."
FIG-101,severity map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_837.png,基于 Zc 阈值构建的窜槽严重性标签示例（来源：FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_837.png）,第3章 标签构造,展示严重性标签或最终标签形态,high,maybe,"Artifact type: image; size=310.6KB; evidence path only, image not modified."
FIG-102,severity map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_847.png,基于 Zc 阈值构建的窜槽严重性标签示例（来源：FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_847.png）,第3章 标签构造,展示严重性标签或最终标签形态,high,maybe,"Artifact type: image; size=319.7KB; evidence path only, image not modified."
FIG-103,severity map,/mnt/c/Users/Administrator/Desktop/Hal/results/FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_891.png,基于 Zc 阈值构建的窜槽严重性标签示例（来源：FFT_EfficientNet/output/fft_regression/array_03/results/fft_model_analysis_plots/combo_plots_High_Severity/combo_sample_891.png）,第3章 标签构造,展示严重性标签或最终标签形态,high,maybe,"Artifact type: image; size=304.6KB; evidence path only, image not modified."
FIG-104,数据示意图,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+CNN/channeling_distribution.png,原始声波信号及窜槽分布示意图（来源：CSI+CNN/channeling_distribution.png）,第2章 数据与问题定义,展示原始声波/CSI/窜槽分布证据,high,no,"Artifact type: image; size=1.8MB; evidence path only, image not modified."
FIG-105,数据示意图,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+CNN/csi_distribution_analysis.png,原始声波信号及窜槽分布示意图（来源：CSI+CNN/csi_distribution_analysis.png）,第2章 数据与问题定义,展示原始声波/CSI/窜槽分布证据,high,no,"Artifact type: image; size=2.5MB; evidence path only, image not modified."
FIG-106,数据示意图,/mnt/c/Users/Administrator/Desktop/Hal/results/CSI+CNN/real_original_sonic_signals.png,原始声波信号及窜槽分布示意图（来源：CSI+CNN/real_original_sonic_signals.png）,第2章 数据与问题定义,展示原始声波/CSI/窜槽分布证据,high,no,"Artifact type: image; size=898.8KB; evidence path only, image not modified."
FIG-107,数据示意图,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/visualization_plots/150_01_raw_waveform.png,原始声波信号及窜槽分布示意图（来源：temp_result/GaN+2Dlabel/output/visualization_plots/150_01_raw_waveform.png）,第2章 数据与问题定义,展示原始声波/CSI/窜槽分布证据,medium,no,"Artifact type: image; size=51.0KB; evidence path only, image not modified."
FIG-108,数据示意图,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/GaN+2Dlabel/output/visualization_plots/2500_01_raw_waveform.png,原始声波信号及窜槽分布示意图（来源：temp_result/GaN+2Dlabel/output/visualization_plots/2500_01_raw_waveform.png）,第2章 数据与问题定义,展示原始声波/CSI/窜槽分布证据,medium,no,"Artifact type: image; size=57.0KB; evidence path only, image not modified."
FIG-109,数据示意图,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/test_relativity/output/visualization_plots/150_01_raw_waveform.png,原始声波信号及窜槽分布示意图（来源：temp_result/test_relativity/output/visualization_plots/150_01_raw_waveform.png）,第2章 数据与问题定义,展示原始声波/CSI/窜槽分布证据,medium,no,"Artifact type: image; size=51.0KB; evidence path only, image not modified."
FIG-110,数据示意图,/mnt/c/Users/Administrator/Desktop/Hal/results/temp_result/test_relativity/output/visualization_plots/2500_01_raw_waveform.png,原始声波信号及窜槽分布示意图（来源：temp_result/test_relativity/output/visualization_plots/2500_01_raw_waveform.png）,第2章 数据与问题定义,展示原始声波/CSI/窜槽分布证据,medium,no,"Artifact type: image; size=57.0KB; evidence path only, image not modified."
